ip,label
10.0.0.10,cassowary
10.0.0.6,DFIR-IRIS
10.0.0.101,dodo
10.0.0.102,takahe
10.0.0.103,kiwi
10.0.0.104,gastornis
10.0.0.105,rhea
10.0.0.7,iris-app
